,Date,User,Tweet,Like,Reply,Retweet,Quote
80,2022-01-12 22:04:10+00:00,mouad690,"La dernière victoire du FCB dans un classico
Gavi était au collège et @Leni_MUFC en 6eme
L'iphone 11 et le covid n'existait ps
Le Portugal n'avait ps gagné la Nations League
L'Algérie qu'une étoile 
Le tenant du titre d'ucl était le Real Madrid
Fekir et Ndombele étaient à l'OL https://t.co/0oAW74s78e qqqqq",16,2,5,0
81,2022-01-12 22:03:41+00:00,LouieYap9,Transparency nga yung ginagawa ni ma'am leni robredo na transparency pag tumama si ma'am leni sa malakanyang lahat ng ahensya ng gobyerno magkakaroon ng procedure sa transparency https://t.co/tq6f5rNXs2 https://t.co/B7J6ttzJTR qqqqq,0,0,0,0
82,2022-01-12 22:01:56+00:00,LouieYap9,Yes record shows na talagang malinis si leni at kiko walang reklamo ng commission on audit https://t.co/NAgneOnOt4 https://t.co/Ht5EBb64uC qqqqq,1,0,0,0
83,2022-01-12 22:00:38+00:00,BradBen2020,"#Kakampink should understand that Pres. Duterte is NOT running, it is MarcosJr. You need Duterte supporters and those who still believe in him for @lenirobredo to win. Focus on Marcos because Digong will step down soon. He's not relevant in the upcoming election. qqqqq",2,0,0,1
84,2022-01-12 22:00:01+00:00,PhilstarNews,"In her interview with One News, Vice President Leni Robredo said that she wants to assign good managers as her Cabinet members if she wins the presidency in the 2022 elections. https://t.co/xOLLytICrZ qqqqq",1948,66,236,40
85,2022-01-12 21:58:30+00:00,dodypena3,Who would listen to a convicted criminal @mariaressa who manages fake news purveyor and least trusted online news vlogger @rapplerdotcom? Probably madumb sinungaling @lenirobredo and her fanatics will. 😂😂😂 https://t.co/oMEjbYDpot qqqqq,0,0,0,0
86,2022-01-12 21:55:55+00:00,FactUpo,"As much as I want to, I don’t want LBM to be disqualified by @COMELEC, mas magandang manalo si @lenirobredo dahil sa desisyon ng taumbayan. Once and for all, mabaon na sa limot ang pamilyang Magnanakaw. qqqqq",0,0,0,0
87,2022-01-12 21:54:11+00:00,Gabriel41750282,We should contribute to help assistance for Madan Leni's weakup callhttps://youtu.be/Bn3MH7T0dUI qqqqq,0,0,0,0
88,2022-01-12 21:51:29+00:00,alydearstans,"Please help support Kpop Stans 4 Leni, add a #Twibbon now! https://t.co/IEFQVNpr1D qqqqq",1,0,0,0
89,2022-01-12 21:43:59+00:00,OrdnaryongPinoy,"67K members in 24 hours! Amazing mga #KakamPINK.

Let's help ABL - Angat Buhay Lahat Facebook group to grow more as manifestation of support to Leni-Kiko tandem.

Join now to learn more about VP Leni and Sen. Kiko and to help them propel they Presidential and VP bid. https://t.co/PPrIWlU9BN qqqqq",49,0,13,2
90,2022-01-12 21:43:25+00:00,n4n4daim3,"Ang daming Paring katoliko active ngayon sa Socmed campaigning for maDumb VP Leni while maligning #BBMSARA2022 🙄

#KayMarcosTayo https://t.co/R21IV7Tlhl qqqqq",2,0,1,0
91,2022-01-12 21:40:43+00:00,srsasot_,"Leni's first economic policy is to stop the pandemic.
But she wants her volunteers to do FACE-TO-FACE campaigning. qqqqq",103,4,10,6
92,2022-01-12 21:40:31+00:00,ijaveriarana,I think Ab Toba ker Leni chaye 🥺 https://t.co/vrC3DYCIIR qqqqq,2,0,0,0
93,2022-01-12 21:40:31+00:00,srsasot_,Leni said nawala na raw lahat ang miyembro ng Liberal Party. Let's emphasize that it happened under her chairmanship of Liberal Party. That's how good she is. https://t.co/VBWqEGfqoK qqqqq,99,14,20,4
94,2022-01-12 21:38:51+00:00,mharvzolivarez,So dinisregard ni @jonvicremulla yung pa Survey nya dito sa Twitter because Leni Robredo was leading by a landslide over other candidates. Pero nag post ngayon sa Facebook na nag pa survey daw sila sa buo ng Cavite at leading daw si Marcos. Hahahahahaha. https://t.co/McgzRdoYGs qqqqq,0,0,1,0
95,2022-01-12 21:38:28+00:00,ArielGa40211632,"Pag si Leni&amp;Kiko Ang nanalo Ang mga Pilipino ay #AngatBuhayLahat 
At #LeniKiko2022 qqqqq",0,0,0,0
96,2022-01-12 21:38:26+00:00,beng_beng_beng,"I am so sick and tired of people demeaning ""lugaw"" just because it's associated with Leni. Wala na bang iba?

Hindi patay gutom ang mga kumakain ng lugaw.

Matapobre lang ang nagsasabi non. qqqqq",21,1,7,0
97,2022-01-12 21:37:12+00:00,zonarojas,"Como toda ciudadana de bien, ¡LENI USA BARBIJO! https://t.co/2silq618bd qqqqq",27,1,2,0
98,2022-01-12 21:34:02+00:00,SMSnotliterally,"Just want to say 3rd month in a row Ganpati ke naam ki jhooti kasam nahi leni chahiye

#BiggBoss15 qqqqq",0,0,0,0
